My key	samples_metaG	samples_metaT	Depth	SizeFraction	Season	OxCond	Fluorescence	BeamAtt	O2	Temp	Salinity	H2S	ParticulateS	TZVS	CH4	NO3	NO2	NH4	PO4	Chemoautotrophy	BNP	MicroAbun(x10^8 L^-1)	FlagAbun(x10^5 L-1)	VLP(x10^8 L-1)
AnoxNov2PA	D2b267A	R2b267A	267	PA	Nov	Suboxic	-0.0032	0.0323	0	17.76	36.38	0	0.13	0.01	0.18	0.07	0.04	0.66	2.35	1.15	0.67	4.45	0.36	10.83
OxicNov1FL	D2a143B	R2a148B	149	FL	Nov	Oxycline	-0.0174	0.0397	82.02	19.4	36.61	0	0	0	0.02	12.33	0.07	2.15	0.65	0.13	0.13	3.88	0.4	15.13
OxicNov2FL	D2b143B	R2b148B	149	FL	Nov	Oxycline	-0.0174	0.0397	82.02	19.4	36.61	0	0	0	0.02	12.33	0.07	2.15	0.65	0.13	0.13	3.88	0.4	15.13
MicroOxNov1FL	D2a200B	R2a200B	201	FL	Nov	Oxycline	-0.0053	0.0357	14.07	18.09	36.43	0	0	0	0.01	12.52	0.07	1.67	1.36	0.35	0.29	3.34	0.3	7.83
MicroOxNov2FL	D2b200B	R2b200B	201	FL	Nov	Oxycline	-0.0053	0.0357	14.07	18.09	36.43	0	0	0	0.01	12.52	0.07	1.67	1.36	0.35	0.29	3.34	0.3	7.83
SubOxNov1FL	D2a237B	R2a237B	238	FL	Nov	Oxycline	0.0004	0.0501	0.41	17.88	36.4	0	0.03	0.02	0.01	1.69	0.27	0.63	1.48	0.53	0.16	3.19	0.28	12.26
SubOxNov2FL	D2b237B	R2b237B	238	FL	Nov	Oxycline	0.0004	0.0501	0.41	17.88	36.4	0	0.03	0.02	0.01	1.69	0.27	0.63	1.48	0.53	0.16	3.19	0.28	12.26
IntNov1FL	D2a247B	R2a247B	248	FL	Nov	Suboxic	0.0014	0.0394	0	17.83	36.39	0	0.03	0.01	0.01	3.07	0.04	0	1.92	0.53	0.21	5.57	1.06	11.48
IntNov2FL	D2b247B	R2b247B	248	FL	Nov	Suboxic	0.0014	0.0394	0	17.83	36.39	0	0.03	0.01	0.01	3.07	0.04	0	1.92	0.53	0.21	5.57	1.06	11.48
AnoxNov1FL	D2a267B	R2a267B	267	FL	Nov	Suboxic	-0.0032	0.0323	0	17.76	36.38	0	0.13	0.01	0.18	0.07	0.04	0.66	2.35	1.15	0.67	4.45	0.36	10.83
AnoxNov2FL	D2b267B	R2b267B	267	FL	Nov	Suboxic	-0.0032	0.0323	0	17.76	36.38	0	0.13	0.01	0.18	0.07	0.04	0.66	2.35	1.15	0.67	4.45	0.36	10.83
